Id,Price
4567,167537.55
5925,123645.32
960,143994.58
3848,113987.586
746,207210.16
868,339664.53
672,113599.055
2471,204746.58
4510,120414.984
8354,273887.06
6393,171230.31
13270,230897.4
5250,327707.94
16751,175538.22
11404,132088.08
10588,295473.53
14925,202384.9
6791,207009.0
16097,198579.72
16428,362833.47
6945,338962.5
3190,187044.39
15709,430702.0
13155,152468.58
7675,190842.66
14686,222745.23
609,154704.94
11155,155709.08
10869,200413.61
15742,184878.66
9245,196978.75
3340,163107.83
2359,281090.9
8070,201473.62
13707,132435.33
16079,243027.89
15937,277620.4
14090,190587.98
9008,210386.27
16384,170027.95
11657,233192.53
13151,149882.7
8990,146945.84
11857,182264.66
1565,147237.97
8174,99206.42
9247,248719.61
10478,212781.64
15509,145067.73
8306,244357.72
6642,179714.7
7472,228194.6
15989,129171.555
13682,136633.36
163,313196.94
7076,193791.61
7478,364087.75
3029,188833.86
1814,140047.62
10057,134226.7
15100,189620.92
12694,214762.62
6291,187516.28
12603,203528.45
3218,222999.83
13456,126232.44
10170,233710.25
4530,159934.67
13329,168422.81
4820,153878.17
10896,172609.4
13416,116900.18
2701,215482.58
11265,341295.6
9189,256288.58
1858,185979.03
14536,239503.72
6199,313587.34
14730,149734.84
7510,272716.25
15505,162539.72
7446,187215.83
14016,175612.34
14113,106048.266
8721,274070.72
6193,318924.78
5717,172770.22
5427,290178.72
9520,467569.72
6869,100623.3
1658,158500.25
6639,204390.55
6283,197391.19
6257,124099.82
15235,180719.14
902,203891.22
8932,185826.9
16469,348168.7
2825,270368.1
6450,459954.25
11366,183861.0
3801,365263.1
11385,200209.48
1079,203192.19
3202,232354.62
676,224245.44
6185,287565.97
7730,162271.97
2573,183601.23
10978,206132.48
10962,255709.2
8870,193553.27
8496,171881.8
5517,174437.48
927,184121.05
13675,206785.22
1499,228821.88
15536,350559.22
8602,351711.12
12137,441613.53
9865,271038.6
16353,289264.94
15908,209949.33
3944,183904.16
10359,205888.3
15158,224761.05
3259,231928.08
7220,318769.66
13843,207036.48
16736,184527.27
702,252956.11
16401,197961.73
12134,184117.72
6918,223353.28
11792,158514.53
3798,126569.65
10395,133188.62
11099,133306.14
7090,193599.7
11260,188230.66
9647,199755.11
2903,394748.44
2071,183669.61
8604,180809.53
9346,215105.23
3945,200439.48
3420,140124.44
10842,126351.62
725,154576.61
13931,190461.67
16330,235480.42
9066,403643.5
3326,297349.97
1556,276657.47
6579,97613.61
13877,159631.19
9857,318744.0
7302,269734.75
5684,194798.84
6513,219398.31
11342,114070.2
16561,238357.25
6885,175177.27
9308,178824.17
2559,189819.97
6648,174181.89
15260,162153.84
5113,189090.7
16492,183370.92
12034,283301.94
7248,219287.08
2171,208974.14
10594,170575.86
13241,208240.95
7032,144041.0
4884,167408.3
903,224823.22
162,164679.2
6566,242951.75
8249,138759.3
13106,168476.42
256,126213.83
7976,166002.78
8575,174284.22
7591,272119.4
3204,244653.16
15804,185119.97
1525,312834.78
9038,204662.89
13628,197100.95
10016,203675.27
10208,228775.22
2008,187573.38
13029,197324.22
5099,130646.22
9923,303289.56
9461,114837.234
11086,183465.83
15057,301055.72
10689,179751.44
2053,201584.42
16630,176075.64
4985,163020.36
13881,263937.88
13225,187437.17
5779,67657.125
10262,184338.56
10762,204787.39
9513,192111.31
11128,163202.16
2074,297437.25
933,192319.48
2780,179216.16
6594,118453.53
15394,262664.22
14863,131595.08
6698,200165.06
1611,215162.22
174,197052.06
5160,208128.86
3295,314152.9
4559,394523.4
8254,171594.61
10228,100930.0
13924,124813.07
15341,233925.69
4353,169928.36
4334,64028.03
1872,153346.34
7823,182466.56
310,153817.78
3704,236431.11
11615,292024.12
6605,214151.53
3381,188567.83
2143,141174.52
3191,250396.66
13980,139068.17
15613,167949.48
10943,289189.62
9654,114348.43
16053,378126.12
14931,218782.33
8299,215237.38
2147,169614.81
